Title,Type,Sprint,Priority,Points,Labels,DependsOn,Description,AcceptanceCriteria
Control de tiempo de estacionamiento,Story,Sprint 2,Alta,5,backend,,"Como admin, quiero monitorear tiempos para cobro justo.","- Inicio/fin de estacionamiento
- Cálculo de tarifa."
Motor de reglas y multas automáticas,Story,Sprint 2,Alta,5,backend,Control de tiempo de estacionamiento,"Como admin, quiero multas automáticas por incumplimiento.","- Reglas configurables (exceso de tiempo, ocupación indebida)
- Cálculo y registro de multa."
"API de reportes (ocupación, ingresos, multas)",Story,Sprint 3,Media,3,backend,,"Como admin, quiero ver KPIs y reportes.","- Endpoints agregados
- Export CSV/PDF básico."
Chat con seguridad (WebSockets),Story,Sprint 3,Media,5,backend,Auth: registro/login con JWT + hashing (bcrypt),"Como conductor, quiero chatear con seguridad por incidencias.","- Canal por reserva
- Persistencia en BD."
Servicio de notificaciones (email),Story,Sprint 3,Media,3,backend,,"Como conductor, quiero recibir notificaciones de estado.","- SMTP/Provider
- Plantillas para reserva/pago/multa."
Bootstrap frontend React + Vite,Task,Sprint 1,Alta,2,frontend,,"Crear proyecto con routing, state manager (Zustand/Redux), axios, estilos.",- App base corre y navega.
UI Login/Registro,Task,Sprint 1,Alta,3,"frontend,ux",,"Pantallas de login/registro, validaciones y consumo de API.","- JWT guardado seguro
- Errores amigables."
UI Home con disponibilidad por parqueo,Task,Sprint 1,Alta,3,"frontend,ux",,Listado/mapa de parqueos y ocupación por tipo.,"- Llama endpoint disponibilidad
- Actualiza en tiempo real."
UI Reserva de espacio,Task,Sprint 1,Muy Alta,4,"frontend,ux",,Flujo de reserva con selección de espacio/horario.,"- Estado de reserva visible
- Confirmación visual."
UI Registrar pago físico (guardia),Task,Sprint 1,Alta,2,"frontend,ux",,Formulario simple para guardia con ID de reserva.,- Guarda pago en BD.
UI Pago en línea (checkout),Task,Sprint 2,Alta,4,"frontend,ux",UI Reserva de espacio,Checkout redirigido a pasarela y confirmación.,"- Manejo de estados de pago
- Mensajes claros."
UI Control de tiempos (admin),Task,Sprint 2,Alta,3,"frontend,ux",,Panel para ver tiempos y accionar cierres.,- Tabla filtrable/ordenable.
UI Multas (admin),Task,Sprint 2,Alta,3,"frontend,ux",,"Listado de multas, búsqueda, pago de multa.",- Enlace a reserva/usuario.
UI Reportes y descargas,Task,Sprint 3,Media,3,"frontend,ux",,"Gráficas e indicadores, exportación a CSV/PDF.",- KPIs visibles y consistentes.
UI Chat con seguridad,Task,Sprint 3,Media,4,"frontend,ux",Chat con seguridad (WebSockets),Componente de chat por reserva (WebSocket).,- Persistencia y visualización de mensajes.
UI Centro de notificaciones,Task,Sprint 3,Media,2,"frontend,ux",,Campanas/banners con estados de reservas/pagos/multas.,- Lectura/marcado como visto.
"Configurar CORS, rate limiting, helmet",Task,Sprint 1,Alta,2,"security,backend",,Configurar seguridad básica en API.,- Endpoints protegidos contra ataques comunes.
Gestión segura de secretos (.env) y rotación,Task,Sprint 1,Alta,1,"security,devops",,Usar GitHub secrets/ dotenv; no subir .env.,"- Secrets en Actions y servidor.
- .gitignore actualizado."
Cifrado de datos sensibles (AES/at-rest),Task,Sprint 2,Media,3,"security,backend,db",,"Cifrar datos que lo requieran (tokens, refs de pago).","- Columnas encriptadas
- Claves rotables."
Auditoría de acciones críticas,Task,Sprint 2,Media,2,"security,backend",,"Log estructurado de login, pagos, multas, cambios de rol.",- Bitácoras consultables.
Definir DoD y criterios de aceptación por historia,Task,Sprint 1,Alta,1,"qa,pm",,Documentar Definition of Done y CA.,"- Plantilla en repo.
- Aprobado por el equipo."
Suite de pruebas unitarias backend,Task,Sprint 1,Alta,3,"qa,backend",,Configurar Jest/Mocha con cobertura mínima 70%.,- Reporte de coverage en CI.
Pruebas de integración (API),Task,Sprint 2,Alta,3,"qa,backend",Suite de pruebas unitarias backend,"Endpoints críticos: auth, reservas, pagos.",- Casos felices y de error.
E2E Frontend con Playwright/Cypress,Task,Sprint 3,Media,4,"qa,frontend",,"Flujos: login, reservar, pagar, ver multas.",- Pruebas corren en CI.
Carga básica con k6/Artillery,Task,Sprint 3,Baja,2,"qa,backend",,Validar 50-100 rps en endpoints de lectura.,- Reporte incluido.
Semillas (seed) de datos para desarrollo,Task,Sprint 1,Alta,2,"db,backend",Conexión a MySQL y ORM (Prisma/Sequelize),"Script para poblar parqueos, espacios, usuarios demo.",- Seed reproducible.
Métricas de uso (eventos de reserva/pago),Task,Sprint 3,Baja,2,"backend,analytics",,Emitir eventos a consola/archivo para analizar uso.,- Métricas mínimas listadas.
Dockerizar backend y frontend,Task,Sprint 2,Media,3,devops,,Dockerfile y docker-compose para stack local.,- `docker compose up` levanta todo.
Entorno de staging en la nube,Task,Sprint 2,Alta,5,devops,Dockerizar backend y frontend,"Despliegue en un VPS/PaaS, dominio temporal.","- Backend accesible, BD segura, logs visibles."
CD a staging (auto-deploy en main),Task,Sprint 2,Alta,3,devops,,Workflow que publica al merge a main.,- Despliegue automático exitoso.
Backup y restauración de BD,Task,Sprint 3,Media,2,"devops,db",,Política de backups diarios y restauración validada.,- Restore probado.
"README detallado (instalación, scripts, envs)",Task,Sprint 1,Alta,2,docs,,Guía para montar el proyecto.,- Probado por un compañero.
Guía de API (OpenAPI/Swagger),Task,Sprint 2,Alta,3,"docs,backend",,Documentar endpoints con Swagger UI.,- Swagger accesible en /docs.
Manual rápido para guardias y admin,Task,Sprint 3,Media,2,"docs,ux",,"PDF con flujos: verificar reserva, registrar pago físico, ver multas.",- Aprobado por el equipo.
Registro de bugs críticos post-MVP,Task,Sprint 2,Alta,2,"qa,pm",,Crear etiqueta `bug` y SLA de resolución.,- Plantilla de issues en GitHub.
